3516424,3.541417,101.662333
3416403,3.469917,101.639806
3416402,,
3315481,,
3615412,,
3714480,,
3808401,3.856556,100.895833
3711402,,
3411418,,
3414421,3.402778,101.443056
3313445,3.371917,101.3705
3312446,3.342528,101.269111
3312447,,
3214401,3.246139,101.469694
3313470,3.306722,101.386444
3315401,3.304694,101.591944
3315410,,
3315480,,
3215480,,
3216467,,
3115180,,
220291,,
3017445,3.0145,101.718667
3016402,3.096528,101.634389
3016400,,
3015436,3.019528,101.597417
3115403,3.112278,101.596444
3115404,3.150056,101.540944
3015490,3.096944,101.554167
3015435,3.075611,101.553889
3015432,3.037722,101.5345
3015402,,
3015481,,
3015482,,
3014401,3.048056,101.444806
3112401,,
3014402,,
3117482,,
3218401,3.209639,101.875861
3118446,,
3018402,,
3017482,,
3017481,,
3017408,,
3017409,,
2917401,2.994444,101.786111
2917402,,
3018401,3.013444,101.866056
2918403,,
2918401,2.915278,101.823611
2817480,,
2818402,,
2916410,,
2817403,,
2817404,,
2717420,,
2717401,2.788667,101.741972
2816441,2.992778,101.786944
2816443,2.813472,101.641917
2815480,,
2615480,,
